period,ratio,group,ingredient
2025-08-01,20.0,30,발레리안
2025-08-01,36.0,40,발레리안
2025-09-01,16.0,30,발레리안
2025-09-01,40.0,40,발레리안
2025-10-01,20.0,30,발레리안
2025-10-01,12.0,40,발레리안
2025-11-01,4.0,30,발레리안
2025-11-01,16.0,40,발레리안
2024-01-01,44.82758,40,감태
2024-02-01,13.7931,30,감태
2024-02-01,100.0,40,감태
2024-03-01,10.34482,30,감태
2024-03-01,13.7931,40,감태
2024-04-01,6.89655,30,감태
2024-04-01,37.93103,40,감태
2024-05-01,3.44827,30,감태
2024-06-01,6.89655,30,감태
2024-06-01,3.44827,40,감태
2024-07-01,3.44827,30,감태
2024-07-01,10.34482,40,감태
2024-08-01,3.44827,30,감태
2024-08-01,17.24137,40,감태
2024-09-01,6.89655,30,감태
2024-09-01,13.7931,40,감태
2024-10-01,6.89655,30,감태
2024-10-01,3.44827,40,감태
2024-11-01,17.24137,40,감태
2025-01-01,3.44827,40,감태
2025-02-01,3.44827,30,감태
2025-02-01,17.24137,40,감태
2025-05-01,3.44827,30,감태
2025-08-01,3.44827,40,감태
2025-10-01,3.44827,30,감태
2025-10-01,3.44827,40,감태
2025-11-01,3.44827,30,감태
2025-11-01,3.44827,40,감태
2025-12-01,3.44827,40,감태
2024-01-01,50.0,30,세인트존스워트
2024-01-01,48.17813,40,세인트존스워트
2024-02-01,49.39271,30,세인트존스워트
2024-02-01,40.2834,40,세인트존스워트
2024-03-01,50.40485,30,세인트존스워트
2024-03-01,48.78542,40,세인트존스워트
2024-04-01,36.23481,30,세인트존스워트
2024-04-01,41.7004,40,세인트존스워트
2024-05-01,48.58299,30,세인트존스워트
2024-05-01,57.89473,40,세인트존스워트
2024-06-01,36.03238,30,세인트존스워트
2024-06-01,43.1174,40,세인트존스워트
2024-07-01,42.91497,30,세인트존스워트
2024-07-01,42.51012,40,세인트존스워트
2024-08-01,64.77732,30,세인트존스워트
2024-08-01,100.0,40,세인트존스워트
2024-09-01,46.96356,30,세인트존스워트
2024-09-01,43.52226,40,세인트존스워트
2024-10-01,45.54655,30,세인트존스워트
2024-10-01,34.00809,40,세인트존스워트
2024-11-01,39.27125,30,세인트존스워트
2024-11-01,31.9838,40,세인트존스워트
2024-12-01,42.30769,30,세인트존스워트
2024-12-01,37.24696,40,세인트존스워트
2025-01-01,44.73684,30,세인트존스워트
2025-01-01,44.33198,40,세인트존스워트
2025-02-01,26.51821,30,세인트존스워트
2025-02-01,28.13765,40,세인트존스워트
2025-03-01,14.77732,30,세인트존스워트
2025-03-01,18.42105,40,세인트존스워트
2025-04-01,15.58704,30,세인트존스워트
2025-04-01,12.5506,40,세인트존스워트
2025-05-01,9.31174,30,세인트존스워트
2025-05-01,16.80161,40,세인트존스워트
2025-06-01,17.4089,30,세인트존스워트
2025-06-01,15.18218,40,세인트존스워트
2025-07-01,23.27935,30,세인트존스워트
2025-07-01,16.80161,40,세인트존스워트
2025-08-01,14.97975,30,세인트존스워트
2025-08-01,15.38461,40,세인트존스워트
2025-09-01,19.02834,30,세인트존스워트
2025-09-01,16.59919,40,세인트존스워트
2025-10-01,9.31174,30,세인트존스워트
2025-10-01,9.51417,40,세인트존스워트
2025-11-01,10.72874,30,세인트존스워트
2025-11-01,7.08502,40,세인트존스워트
2025-12-01,12.34817,30,세인트존스워트
2025-12-01,9.51417,40,세인트존스워트
