title,link,image,lprice,hprice,mallName,productId,productType,brand,maker,category1,category2,category3,category4,search_keyword,matched_ingredients
"[타임Deal] 밤의쉼 식물성 멜라토닌 5mg 테아닌 가바 30포, 1개",https://smartstore.naver.com/main/products/12171052400,https://shopping-phinf.pstatic.net/main_8971556/89715563105.1.jpg,29000,,가온 헬스케어,89715563105,2,,,식품,건강식품,영양제,멜라토닌,수면 영양제,테아닌|가바|멜라토닌
"[선물세트] 고함량 식물성 멜라토닌 10mg 메라토닌 트립토판 세로토닌 맥스 30정, 4개",https://smartstore.naver.com/main/products/13087842856,https://shopping-phinf.pstatic.net/main_9063235/90632353948.3.jpg,112000,,만년해로,90632353948,2,만년해로,,식품,건강식품,영양제,멜라토닌,수면 영양제,멜라토닌|트립토판
"[2개월분] 바이오니즘 슬립이지 고함량 멜라토닌 5mg 함유 테아닌 30mg 트립토판 60정, 1개",https://smartstore.naver.com/main/products/13064188416,https://shopping-phinf.pstatic.net/main_9060869/90608699508.1.jpg,19900,,원밀리언마켓,90608699508,2,,,식품,건강식품,영양제,멜라토닌,수면 영양제,테아닌|멜라토닌|트립토판
애터미 꿀잠 락티움 60정 1개월분 갱년기 <b>수면 영양제</b> 숙면 도움 스트레스 완화,https://smartstore.naver.com/main/products/13050921378,https://shopping-phinf.pstatic.net/main_9059543/90595432470.jpg,38850,,아트릭스,90595432470,2,애터미,,식품,건강식품,영양제,기타건강보조식품,수면 영양제,락티움
"[오픈 특가 60% 할인] 졸립지 <b>수면</b>건강 솔루션 슬립큐 아쉬아간다 <b>영양제</b> <b>수면</b> 효능 30정, 1개",https://smartstore.naver.com/main/products/12538310298,https://shopping-phinf.pstatic.net/main_9008282/90082821151.5.jpg,19900,,웰트 헬스케어,90082821151,3,졸립지,코스맥스바이오,식품,건강식품,영양제,기타건강보조식품,수면 영양제,기타
잠잘오는 식물성멜라토닌 <b>수면영양제</b> 수면보조제 멜라문 30정,https://smartstore.naver.com/main/products/12476983346,https://shopping-phinf.pstatic.net/main_9002149/90021494093.12.jpg,15500,,SJ Labs 에스제이랩스,90021494093,2,,,식품,건강식품,영양제,멜라토닌,수면 영양제,멜라토닌
식물성 멜라토닌 락티움 2mg 이중배합 <b>수면 영양제</b> 타트체리 숙면 보조제,https://smartstore.naver.com/main/products/11502831000,https://shopping-phinf.pstatic.net/main_8904734/89047341365.2.jpg,19900,,뉴트리커버,89047341365,2,뉴트리커버,,식품,건강식품,영양제,멜라토닌,수면 영양제,락티움|멜라토닌|타트체리
"훈훈한푸드 수면엔 미강주정추출물 감마오리자놀 <b>수면영양제</b> 60정, 1개",https://search.shopping.naver.com/catalog/57930431948,https://shopping-phinf.pstatic.net/main_5793043/57930431948.20251127104831.jpg,18000,,네이버,57930431948,1,훈훈한푸드,콜마비앤에이치,식품,건강식품,영양제,기타건강보조식품,수면 영양제,기타
"SMDR 데이 엔딩 슬립 스타트 700mg x 30정, 1개",https://search.shopping.naver.com/catalog/56754371877,https://shopping-phinf.pstatic.net/main_5675437/56754371877.20250916151235.jpg,57640,,네이버,56754371877,1,SMDR,콜마비앤에이치,식품,건강식품,영양제,기타건강보조식품,수면 영양제,기타
"숙면 특허 멜라토닌 유산균 비타바이브 프로바이오틱스 앳나인 <b>수면</b> 특허 30포, 1개",https://smartstore.naver.com/main/products/11962400598,https://shopping-phinf.pstatic.net/main_8950691/89506911286.1.jpg,29600,,비타 바이브,89506911286,2,비타바이브,,식품,건강식품,영양제,기타건강보조식품,수면 영양제,멜라토닌
"아이하이 아이서파 어린이 아기 <b>수면</b> 잠<b>영양제</b> 30포, 4개",https://smartstore.naver.com/main/products/12084504925,https://shopping-phinf.pstatic.net/main_8962901/89629015630.jpg,118800,,RE얼뷰티,89629015630,2,,,식품,건강식품,영양제,기타건강보조식품,수면 영양제,기타
"[3개월분] 바이오니즘 슬립이지 고함량 멜라토닌 5mg 함유 테아닌 30mg 트립토판 90정, 1개",https://smartstore.naver.com/main/products/13064192640,https://shopping-phinf.pstatic.net/main_9060870/90608703732.1.jpg,27900,,원밀리언마켓,90608703732,2,,,식품,건강식품,영양제,멜라토닌,수면 영양제,테아닌|멜라토닌|트립토판
"식물성 2중배합 멜라토닌 <b>수면</b>보조제 세르토닌 투루멜라 60정, 1개",https://smartstore.naver.com/main/products/11774851096,https://shopping-phinf.pstatic.net/main_8931936/89319361682.3.jpg,29910,,하루 연구소,89319361682,2,,,식품,건강식품,영양제,멜라토닌,수면 영양제,멜라토닌
식물성 멜라토닌 1일 2mg 함유 120정 대용량 미국산 멜라굿밤 HACCP <b>수면</b> 영양,https://smartstore.naver.com/main/products/13040730582,https://shopping-phinf.pstatic.net/main_9058524/90585241674.1.jpg,9900,,멜로우네이쳐,90585241674,3,멜로우네이쳐,제이에스바이오,식품,건강식품,영양제,멜라토닌,수면 영양제,멜라토닌
